Month,Element,Amount in USD,Year,Day,
June,Somali Share,21233.3,2018,19,
June,Somali Share,114512.42,2018,20,
June,Somali Share,39399.25,2018,21,
June,Somali Share,30146.16,2018,23,
June,Somali Share,21187.65,2018,24,
June,Somali Share,13095.5,2018,25,
June,Somali Share,305930.38,2018,27,
June,Somali Share,177987.98,2018,28,
June,Somali Share,24815.45,2018,30,
July,Somali Share,222341.63,2018,2,
July,Somali Share,25175.15,2018,3,
July,Somali Share,122302.88,2018,4,
July,Somali Share,21704.1,2018,5,
July,Somali Share,35885.3,2018,7,
July,Somali Share,17377.25,2018,8,
July,Somali Share,22580.8,2018,9,
July,Somali Share,476727.01,2018,10,
July,Somali Share,17699,2018,11,
July,Somali Share,17882.49,2018,12,
July,Somali Share,26652.45,2018,14,
July,Somali Share,146344.04,2018,15,
July,Somali Share,22603.9,2018,16,
July,Somali Share,121945.54,2018,17,
July,Somali Share,13782.45,2018,18,
July,Somali Share,14902.8,2018,19,
July,Somali Share,37394.72,2018,21,
July,Somali Share,394617.5,2018,22,
July,Somali Share,212301.93,2018,23,
July,Somali Share,68913.1,2018,24,
July,Somali Share,236104.63,2018,25,
July,Somali Share,208187.9,2018,26,
July,Somali Share,29817.7,2018,28,
July,Somali Share,40736.3,2018,29,
July,Somali Share,21439,2018,30,
July,Somali Share,22297.55,2018,31,
August,Somali Share,232882.21,2018,1,
August,Somali Share,19030,2018,2,
August,Somali Share,39944.3,2018,4,
August,Somali Share,127359.43,2018,5,
August,Somali Share,512030.24,2018,6,
August,Somali Share,82607.64,2018,7,
August,Somali Share,13544.85,2018,8,
August,Somali Share,58916.26,2018,9,
August,Somali Share,51722.55,2018,11,
August,Somali Share,28290.35,2018,12,
August,Somali Share,12500.4,2018,13,
August,Somali Share,93941.73,2018,14,
August,Somali Share,31849.95,2018,15,
August,Somali Share,33237.05,2018,16,
August,Somali Share,290485.53,2018,18,
August,Somali Share,358592.78,2018,19,
August,Somali Share,4618.35,2018,20,
August,Somali Share,13921.05,2018,23,
August,Somali Share,26508.35,2018,25,
August,Somali Share,110578.86,2018,26,
August,Somali Share,156630.72,2018,27,
August,Somali Share,23178.1,2018,28,
August,Somali Share,28884.9,2018,29,
August,Somali Share,22746.9,2018,30,
September,Somali Share,35164.25,2018,1,
September,Somali Share,247406.2,2018,2,
September,Somali Share,181574.8,2018,3,
September,Somali Share,27556.1,2018,4,
September,Somali Share,205926.19,2018,5,
September,Somali Share,9266.4,2018,6,
September,Somali Share,217932.45,2018,8,
September,Somali Share,112112.97,2018,9,
September,Somali Share,23850.75,2018,10,
September,Somali Share,161816.12,2018,11,
September,Somali Share,33336.05,2018,12,
September,Somali Share,128746.23,2018,13,
September,Somali Share,105847.5,2018,15,
September,Somali Share,11127.05,2018,16,
September,Somali Share,24031.15,2018,17,
September,Somali Share,288323.02,2018,18,
September,Somali Share,108159.43,2018,19,
September,Somali Share,18639.5,2018,20,
September,Somali Share,180017.82,2018,22,
September,Somali Share,26748.7,2018,23,
September,Somali Share,228843.59,2018,24,
September,Somali Share,25095.95,2018,25,
September,Somali Share,33351.45,2018,26,
September,Somali Share,15069.45,2018,27,
September,Somali Share,14190.55,2018,29,
September,Somali Share,23790.88,2018,30,
October,Somali Share,125353.64,2018,1,
October,Somali Share,321886.88,2018,2,
October,Somali Share,337622.73,2018,3,
October,Somali Share,23502.05,2018,4,
October,Somali Share,43623.25,2018,6,
October,Somali Share,244309.18,2018,7,
October,Somali Share,154443.5,2018,8,
October,Somali Share,37067.8,2018,9,
October,Somali Share,31455.05,2018,10,
October,Somali Share,140479.27,2018,11,
October,Somali Share,44367.95,2018,13,
October,Somali Share,299533.77,2018,14,
October,Somali Share,155195.56,2018,15,
October,Somali Share,173327.45,2018,16,
October,Somali Share,91430.41,2018,17,
October,Somali Share,189156.89,2018,18,
October,Somali Share,33267.3,2018,20,
October,Somali Share,43802.77,2018,21,
October,Somali Share,18118.65,2018,22,
October,Somali Share,19329.75,2018,23,
October,Somali Share,78886.49,2018,24,
October,Somali Share,113786.37,2018,25,
October,Somali Share,18159.35,2018,27,
October,Somali Share,30860.3,2018,28,
October,Somali Share,233605.63,2018,29,
October,Somali Share,19940.25,2018,30,
October,Somali Share,36277.69,2018,31,
November,Somali Share,184458.89,2018,1,
November,Somali Share,32797.5,2018,3,
November,Somali Share,344759.62,2018,4,
November,Somali Share,33356.92,2018,5,
November,Somali Share,193096.06,2018,6,
November,Somali Share,202585.79,2018,7,
November,Somali Share,112762.54,2018,8,
November,Somali Share,188359.95,2018,10,
November,Somali Share,22793.65,2018,11,
November,Somali Share,23228.7,2018,12,
November,Somali Share,26925.25,2018,13,
November,Somali Share,13470.05,2018,14,
November,Somali Share,23209.45,2018,15,
November,Somali Share,123277.86,2018,17,
November,Somali Share,13455.75,2018,18,
November,Somali Share,11228.8,2018,19,
November,Somali Share,60355.76,2018,21,
November,Somali Share,219041.87,2018,22,
November,Somali Share,62699.3,2018,24,
November,Somali Share,268334.08,2018,25,
November,Somali Share,79248.62,2018,26,
November,Somali Share,10657.35,2018,27,
November,Somali Share,21178.85,2018,28,
November,Somali Share,21886.45,2018,29,
December,Somali Share,18638.4,2018,1,
December,Somali Share,61013.98,2018,2,
December,Somali Share,9110.75,2018,3,
December,Somali Share,194721.58,2018,4,
December,Somali Share,46520.1,2018,5,
December,Somali Share,202861.31,2018,6,
December,Somali Share,30534.16,2018,8,
December,Somali Share,153660.47,2018,9,
December,Somali Share,10096.35,2018,10,
December,Somali Share,16510.45,2018,11,
December,Somali Share,22694.1,2018,12,
December,Somali Share,6864,2018,13,
December,Somali Share,19216.45,2018,15,
December,Somali Share,330307.31,2018,16,
December,Somali Share,27645.75,2018,17,
December,Somali Share,211069.1,2018,18,
December,Somali Share,195166.16,2018,19,
December,Somali Share,386867.15,2018,20,
December,Somali Share,34284.86,2018,22,
December,Somali Share,261949.44,2018,23,
