Date,Total Revenue,Somali Share,Albayrak Share,Social Benefits,Month,Year,Day
2018-10-06,79315.0,43623.25,35691.75,396.58,October,2018,6
2018-10-07,444198.5,244309.18,199889.33,2220.99,October,2018,7
2018-10-08,280806.36,154443.5,126362.86,1404.03,October,2018,8
2018-10-09,67396.0,37067.8,30328.2,336.98,October,2018,9
2018-10-10,57191.0,31455.05,25735.95,285.96,October,2018,10
2018-10-11,255416.86,140479.27,114937.59,1277.08,October,2018,11
2018-10-13,80669.0,44367.95,36301.05,403.35,October,2018,13
2018-10-14,544606.85,299533.77,245073.08,2723.03,October,2018,14
2018-10-15,282173.75,155195.56,126978.19,1410.87,October,2018,15
2018-10-16,315140.82,173327.45,141813.37,1575.7,October,2018,16
2018-10-17,166237.1,91430.41,74806.7,831.19,October,2018,17
2018-10-18,343921.62,189156.89,154764.73,1719.61,October,2018,18
2018-10-20,60486.0,33267.3,27218.7,302.43,October,2018,20
2018-10-21,79641.4,43802.77,35838.63,398.21,October,2018,21
2018-10-22,32943.0,18118.65,14824.35,164.72,October,2018,22
2018-10-23,35145.0,19329.75,15815.25,175.73,October,2018,23
2018-10-24,143429.98,78886.49,64543.49,717.15,October,2018,24
2018-10-25,206884.3,113786.37,93097.94,1034.42,October,2018,25
2018-10-27,33017.0,18159.35,14857.65,165.09,October,2018,27
2018-10-28,56109.63,30860.3,25249.33,280.55,October,2018,28
2018-10-29,424737.5,233605.63,191131.88,2123.69,October,2018,29
2018-10-30,36255.0,19940.25,16314.75,181.28,October,2018,30
2018-10-31,65959.44,36277.69,29681.75,329.8,October,2018,31
2018-11-01,335379.8,184458.89,150920.91,1676.9,November,2018,1
2018-11-03,59631.82,32797.5,26834.32,298.16,November,2018,3
2018-11-04,626835.68,344759.62,282076.06,3134.18,November,2018,4
2018-11-05,60648.94,33356.92,27292.02,303.24,November,2018,5
2018-11-06,351083.75,193096.06,157987.69,1755.42,November,2018,6
2018-11-07,368337.8,202585.79,165752.01,1841.69,November,2018,7
2018-11-08,205022.8,112762.54,92260.26,1025.11,November,2018,8
2018-11-10,342472.63,188359.95,154112.68,1712.36,November,2018,10
2018-11-11,41443.0,22793.65,18649.35,207.22,November,2018,11
2018-11-12,42234.0,23228.7,19005.3,211.17,November,2018,12
2018-11-13,48955.0,26925.25,22029.75,244.78,November,2018,13
2018-11-14,24491.0,13470.05,11020.95,122.46,November,2018,14
2018-11-15,42199.0,23209.45,18989.55,211.0,November,2018,15
2018-11-17,224141.56,123277.86,100863.7,1120.71,November,2018,17
2018-11-18,24465.0,13455.75,11009.25,122.33,November,2018,18
2018-11-19,20416.0,11228.8,9187.2,102.08,November,2018,19
2018-11-21,109737.74,60355.76,49381.98,548.69,November,2018,21
2018-11-22,398257.95,219041.87,179216.08,1991.29,November,2018,22
2018-11-24,113998.72,62699.3,51299.42,569.99,November,2018,24
2018-11-25,487880.15,268334.08,219546.07,2439.4,November,2018,25
2018-11-26,144088.4,79248.62,64839.78,720.44,November,2018,26
2018-11-27,19377.0,10657.35,8719.65,96.89,November,2018,27
2018-11-28,38507.0,21178.85,17328.15,192.54,November,2018,28
2018-11-29,39793.55,21886.45,17907.1,198.97,November,2018,29
2018-12-01,33888.0,18638.4,15249.6,169.44,December,2018,1
2018-12-02,110934.51,61013.98,49920.53,554.67,December,2018,2
2018-12-03,16565.0,9110.75,7454.25,82.83,December,2018,3
2018-12-04,354039.24,194721.58,159317.66,1770.2,December,2018,4
2018-12-05,84582.0,46520.1,38061.9,422.91,December,2018,5
2018-12-06,368838.75,202861.31,165977.44,1844.19,December,2018,6
2018-12-08,55516.66,30534.16,24982.5,277.58,December,2018,8
2018-12-09,279382.68,153660.47,125722.21,1396.91,December,2018,9
2018-12-10,18357.0,10096.35,8260.65,91.79,December,2018,10
2018-12-11,30019.0,16510.45,13508.55,150.1,December,2018,11
2018-12-12,41262.0,22694.1,18567.9,206.31,December,2018,12
2018-12-13,12480.0,6864.0,5616.0,62.4,December,2018,13
2018-12-15,34939.0,19216.45,15722.55,174.7,December,2018,15
2018-12-16,600558.75,330307.31,270251.44,3002.79,December,2018,16
2018-12-17,50265.0,27645.75,22619.25,251.33,December,2018,17
2018-12-18,383762.0,211069.1,172692.9,1918.81,December,2018,18
2018-12-19,354847.57,195166.16,159681.41,1774.24,December,2018,19
2018-12-20,703394.81,386867.15,316527.66,3516.97,December,2018,20
2018-12-22,62336.1,34284.86,28051.25,311.68,December,2018,22
2018-12-23,476271.71,261949.44,214322.27,2381.36,December,2018,23
2018-12-24,81312.0,44721.6,36590.4,406.56,December,2018,24
2018-12-25,94634.75,52049.11,42585.64,473.17,December,2018,25
2018-12-26,32796.0,18037.8,14758.2,163.98,December,2018,26
2018-12-27,117473.95,64610.67,52863.28,587.37,December,2018,27
2018-12-29,67738.0,37255.9,30482.1,338.69,December,2018,29
2018-12-30,50451.7,27748.44,22703.27,252.26,December,2018,30
2018-12-31,534327.5,293880.13,240447.38,2671.64,December,2018,31
